Number,Topic,Comment,Document Detail (URL),Highlighting
51,1,"

I am against repealing the 2016 Mitigation Policy. I want my public lands to be managed with a net gain of conservation outcomes, including the effects of climate change. I do not want my public lands including those adminstered by the US Fish and Wildlife Service and the Bureau of Land Management to be destroyed by lack of conservation. I want my public lands to remain intact, for my next many generations of my children and the generations of American people. 









--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0207,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
52,2,"Obama administration agencies added more than $80 billion of regulatory burden on the American economy in just 8 years of his term, hurting the poor in America and based on erroneous reports. 
A 2014 a past EPA person acknowledged that EPA's enforcement philosophy was to ""crucify"" the oil and gas industry. Political motives, it is clear investigations were used to test the limits of the Agency's enforcement authority over the oil and gas industry and was an attempt to defame hydraulic fracturing. Consequently, EPA received significant scrutiny from the state, Congress, numerous stakeholders, and even EPA's own scientists over the justification. an EPA environmental chemist, sent an email to other EPA staff shortly before a EAO was issued saying ""this is not conclusive evidence because of the limited data set...the only way now to compare the data would be to make assumptions to fill in data gaps and I don't believe we have enough experience at this site or data to do this at this time. EPA's ""designated representative"" in a legal deposition, stated that the EPA had not determined a gas and oil company caused or contributed to natural gas in the water, that the EPA had knowledge of naturally occurring methane gas in the local water, and that EPA did ""no geologic investigation"" to substantiate their claims. Similar to EPA's backtrack in another investigation, withdrew the EAO April 2012. Internal communications obtained by the Senate Committee reveal how EPA set aside facts to play politics in a case.
In December 2011, In EPA draft report on groundwater and Hydraulic fracturing the findings were inaccurate and not the result of properly conducted hydraulic fracturing. EPA ignored the scientific process and manipulated its findings, failing to consult with the USGS or even the state before releasing the report. EPA ignored data that documented naturally occurring substances in groundwater, used incomplete data sets, and disregarded USGS sampling recommendations. In fact, EPA breached its internal policy for drilling groundwater monitoring wells. Accordingly, the draft report received numerous criticisms by the state, Congress, and other federal agencies. Even BLM criticized EPA's draft report, writing that the ""data presented thus far seems to be at a scale and resolution insufficient to answer the questions this investigation raises,"" and that ""bias in the samples obtained from these wells may exist. Looking back, it is clear that from the beginning of the investigation, the Obama Administration did not bother to get the science or facts right, nor did they come into Pavillion to make a constructive impact on the long history of drinking water issues for the people. They simply wanted to use the case as an opportunity to publicly ""finger-point"", and link hydraulic fracturing to water contamination, regardless of the facts. After extending the comment period on the draft report three times, the Agency eventually abandoned its investigation in June 2013.
EPA failed approach to link contaminated water to Hydraulic fracturing . First case EPA recanted took place in Dimock, Pennsylvania where environmental activists first made accusations about potential groundwater contamination in December 2011. Despite ongoing state actions, and EPA's agreement with Pennsylvania Department of Environmental Protection that the water in Dimock was safe to drink, EPA soon moved forward under its Superfund authority and sampled 60 private wells in the area. These additional samplings prompted the media to assume there was still a major threat to drinking water from hydraulic fracturing, even though authorities had already deemed it safe. Unfortunately for the Agency and its political agenda, the facts held true and led EPA to both declare the water was safe to drink and confirm state officials' findings that there were no health concerns . The Agency released three rounds of testing that found no contamination and explained the substances found were naturally occurring and common to the area. After the Agency's fourth round of testing found no contamination, EPA ceased its fifth inquiry in July 2012. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0257,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
53,3,"Dear U.S. Fish and Wildlife Service officials,

Thank you for the opportunity to comment on portions of your existing Mitigation Policy and Endangered Species Act Compensatory Mitigation Policy (ESA-CMP). In essence, the policies' overall mitigation planning goals must retain ""net conservation gain"" consistent with former President Obama's Memorandum on Mitigating Impacts on Natural Resources From Development and Encouraging Related Private Investment (November 3, 2015). Effective mitigation is a powerful tool for furthering the Service's mission to conserve, protect, and enhance fish, wildlife, plants, and their habitats to the continuing benefit of the American people for current and future generations. 

The changes made to these mitigation policies in 2016 were based on numerous growing conservation challenges and practices, including accelerating loss, degradation, and fragmentation of habitats; effects of climate change, human population growth and other new threats; and advances in fish and wildlife conservation science. These challenges and practices remain today and are expected to persist well into the future. Designing mitigation that ensures a ''net conservation gain'' in the status of affected resources is imperative to address the additive impacts that lead to significant deterioration of resources over time, to foster recovery of listed species, and to avoid listing of additional species. This is an obligation of the Service as an administrator of the ESA. Mitigation, as broadly defined in current policy, as ""measures to avoid, minimize, and compensate for impacts"" is an essential means of achieving the overarching purpose of the ESA (to conserve listed species and the ecosystems upon which they depend), and the current mitigation policies provide guidance for doing so most effectively. 

As of the end of 2016, more than 1,500 species listed have been listed under the ESA since its inception. Without a commitment to responsible and implementable standards and polices for accomplishing effective, sustainable mitigation that more than fully offsets the adverse impacts of actions to listed species and other resources of concern, these species and resources are unlikely to recover and persist. Mitigation with a ""net conservation gain"" is necessary because an accurate accounting of the functions and services lost at impact sites and gained at mitigation sites is rarely possible due to the variability and uncertainty inherent in biological systems and ecological processes. Programs and projects should be designed to achieve mitigation beyond no net loss in order to effectively buffer risk, reduce uncertainty, and ensure sufficient conservation benefits for species to promote their recovery. Please retain all of the fundamental principles (a-h) for guiding mitigation as defined in the 2016 policies across all Service programs, especially the goal of ""net conservation gain"". Rescinding this important mitigation policy goal is not necessary to achieve the economic goals of the Secretary of the Interior's Order 3349 on American Energy Independence (March 29, 2017).",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0315,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
54,4,"

It is critically important that Fish and Wildlife Service RETAIN net conservation gain as a mitigation planning goal within FWS mitigation policies. The old 1981 Mitigation Policy needed to be strengthened due to accelerating loss of habitats, effects of climate change, and better scientific understanding. Instead of no net loss, the new (current) Mitigation Policy aims to achieve ""a net gain in conservation outcomes."" This is an appropriate planning goal and, as such, must be retained by FWS.









--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0211,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
55,5,"

Regulation Needs to be changed ...The Equal Access to Justice Act (""EAJA""), enacted in 1980, allows the award of attorneys' fees in suits by or against the United States in two situations. the ESA has no restriction that attorneys' fees be paid only to prevailing parties, and no limit to the amount of attorneys' fees that can be awarded. In determining attorney fees for ESA cases, the courts use a lodestar approach in setting the rate of fees.
In addition to filing lawsuits, litigious groups have filed increasing numbers of petitions under the ESA, seeking to list species as endangered or threatened under the Act. Under the Act, the FWS or NMFS must make a finding within 90 days of receiving a petition as to whether there is ""substantial information"" indicating whether the petitioned listing may be warranted. After this 90 day finding, there are many statutorily prescribed deadlines and decisions that the agency must make regarding each petition. While the statute may be well-intentioned in formulating a timeline for agency decision making, special interest groups attempting to list hundreds of species at a time was not what was intended and serves only as a vehicle for an award of attorneys' fees, as the deadlines become impossible to meet. endless lawsuits do not serve the purpose of the statute. FWS show the incredibly broken system, with environmental groups filing notices of intent to sue if the government does not make species-specific findings on more than 400 species within a three month time-frame. timeframes provided currently under ESA are not feasible, and that groups are litigating not over whether a species ought to be listed, but that the federal government can't comply with rigid 90-day or 12-month timeframes set by ESA. As a result of FWS' focus on listings, others have complained that opportunities for public comment and engagement, and accessibility to scientific data supporting significant ESA proposals have been short-changed, often with the federal agencies citing deadlines from the mega-settlement as the excuse.
Even efforts by federal agencies to streamline the ESA consultation process for federal fire management plans have been challenged by environmentalists. In 2003, the Forest Service, Bureau of Land Management, FWS, the National Park Service, the Bureau of Indian Affairs and NMFS issued joint regulations that would expedite National Fire Plan actions not likely to adversely impact critical habitat. Activists groups filed suit under ESA, and a federal district court first upheld the regulations, and then reversed itself.
ESA shuts out states, tribes, local governments, and private landowners not only in key ESA decisions but in actual conservation activities to preserve and recover species.










--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0272,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
56,6,"Rescind wind and solar tax credit and subsidizes ; Avian mortality at utility-scale solar energy facilities in the United States. the benefits of reduced toxic and carbon emissions from a perpetual energy resource are questionable, there is potential for negative environmental impacts resulting from utility-scale solar development Utility-scale solar energy facilities in the United States require large spatial footprints (between 1.4 and 6.2 ha of land per MW of electric production) and are projected to require a total of 370,000-1,100,000 ha of land by 2030, mostly in the arid regions of the southwestern states . These large scale developments and land-cover change associated with them may result in a variety of environmental impacts. Among the potential environmental impacts are ecological impacts to wildlife species and their habitats. Recent studies have suggested that utility-scale solar developments may represent a source of mortality for wildlife such as birds. Avian mortality to be between 16,200 and 59,400 birds in the southern California region, which was extrapolated to between 37,800 and 138,600 birds for all USSE facilities across the United States that are either installed or under construction.
Wind energy development, Recent assessments of avian mortality at wind energy facilities . To assess avian mortality associated with wind energy developments in the southern California study region, the locations of wind energy facilities and associated electric generation capacity within the study region were obtained using turbine locations mapped by the U.S. Geological Survey (USGS) through July 2013. searched available literature for systematic avian monitoring and mortality studies that provided statistically-based adjusted mortality estimates . Of the wind energy facilities known to occur in the region, avian mortality data were available for 5 facilities . These projects contain a wide range of avian mortality estimates , most likely due to changes in turbine technology over time. national mortality estimate of 573,093 birds across a total installed wind energy capacity in 2012. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0165,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
57,7,"Past administration Renewable Electricity Futures study did not conduct a full reliability analysis, which would include sub-hourly, stability, and AC power flow analysis."" In fact, page xviii of that study qualitatively concludes ""Additional challenges to power system planning and operation would arise in a high renewable electricity future. Studies (particularly those examining high VRE levels) may often assume (or ignore) modeled conditions that could be difficult and/or costly to achieve in practice, such as a large transmission buildout that may face siting or other obstacles, ability of non-wind and solar plants to remain financially viable and thus available, institutional changes, or, for one study, synchronization of all three interconnections. Past administration Federal and state policies, provide tax incentives, and mandates, significant quantities of variable renewable energy (VRE) resourcesspecifically wind and solar at high cost to tax payers. contribution to wind and solar growth was quickly accelerated by government policies and mandates. State renewable portfolio standards (RPS)have been the largest contributorassociated with 60 percent of VRE growth since 2000followed by Federal tax credits and government research, to a high cost to tax payers. Repeal of Carbon Pollution Emission Guidelines Existing Stations Sources: Electric Utility Generating Units Clean Power Plan remains illegal and would do devastating harm to the average American. CPP flawed EPA used a two-step process to set limits on upwind states' emissions. First, EPA determined whether a state's emissions were projected to contribute significantly to air quality problems in a downwind area (making it hard for a downwind area to attain or stay in attainment with ambient air quality standards). Second, EPA determined the amount of emission reductions that in upwind states could make without exceeding a cost threshold. But EPA only used Power Plants, and Not Wildfire air quality problems.
The retrofit-or-retire decision for owners is also impacted by EPA's New Source Review (NSR) regulations that can affect owners' ability to enhance plant efficiency due to the delay, cost, and uncertainty associated with obtaining an NSR permit. The NSR permitting program requires stationary sources of air pollutionincluding factories, industrial boilers, and power plantsto get permits before construction starts, whether the unit is being newly built or modified. This is an important concern for owners considering retrofitting an existing power plant with carbon capture equipment to reduce CO2 emissions, or adding new components to improve operating efficiency. These upgrades could trigger the NSR requirements of the Clean Air Act because they would constitute a ""physical change,"" or lead to a designation of the change as a ""major modification,"" subjecting the unit to NSR permitting requirements. The uncertainty stemming from NSR creates an unnecessary burden that discourages rather than encourages installation of CO2 emission control equipment and investments in efficiency because of the additional expenditures and delays associated with the permitting process.143 144 Ironically, the uncertainty surrounding NSR requirements has led to a significant lack of investment in plant and efficiency upgrades, which would otherwise lead to more efficient power generation, benefits to grid management, and reduced environmental impacts. EPA has acknowledged these burdens and has made attempts to reform the rules to improve and streamline NSR: As applied to existing power plants and refineries, EPA concludes that the NSR program has impeded or resulted in the cancellation of projects which would maintain and improve reliability, efficiency and safety of existing energy capacity. Such discouragement results in lost capacity, as well as lost opportunities to improve energy efficiency and reduce air pollution. A few hydroelectric power plants have not sought relicensing due to concerns over the cost of meeting mandatory environmental requirements imposed by Federal and state resource agencies. Capital upgrade requirements can include capacity uprates (initiated by the plant owner rather than a regulator), dam safety upgrades, or environmental improvements. Agency should cancel all regulations in past few years and start new reports. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0218,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
58,8,"wind turbines kill more birds of prey like eagles, raptors, and kestrals than deliberate shootings and poisoning. Study: low-frequency noise produced by wind turbines could interfere with the vocalizations of male prairie chickens, hens tended to move further away from any wind turbine, Wind energy is the only one that has a direct impact on birds . U.S. Fish and Wildlife Service (USFWS) website ARTICLE, bird deaths from turbine collisions are between 134,000 and 327,000 birds per year. And report in 2015 The USFWS also believed that wind energy development was an increasing threat to native bird population , indicated that bird populations had declined. Global boom in renewable energy is posing new threats to birds say experts. At the UN climate conference in Bonn, researchers said wind turbines and power lines were a particular problem for migratory soaring birds.Federally-listed species affected by operation of wind energy facilities in the Midwest Region is the endangered Indiana bat. U.S. Fish and Wildlife Service , Indiana ; One particular challenge has been an unforeseen byproduct of wind energy development large-scale fatalities of bats at wind energy facilities. The Indiana bat is a federally endangered species that ranges throughout 21 states in the eastern U.S.Yet many of the fossil fuel alternatives championed by the eco-warriors are woefully inefficient. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0160,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
59,9,"

Wind Turbines are not efficient. if Billionaires did not push false ideas and tax payer subsides were stopped there would be No Wind Turbines. Not clean but use Toxic material harmful to humans and animals. The wind industry is like the hype such as Dutch tulip mania. elaborate effort to fleece world. Subsidies are what built them. Subsidies are what run them. So, when the subsidies run out, it isn't long before the only remaining force at work is rust. Wind Turbines near water from local aquifers, streams & rivers have the potential for contamination once built.
UNITED KINGDOM has stopped wind Subsidies ; government Treasury said Nov. 22, 2017 there will be NO new low carbon electricity levies before 2025 ( energy subsidies) NO LONGER the right vehicle. GERMANY : electricity rates at close to 30 euro-cents for each kilowatt-hour, they are among the world's highest. By 2021 approx. 5,700 wind turbines will be closed down no wind taxpayer Subsidies. In the following years, 2,000 to 3,000 megawatts each will be decommissioned. That would be more than a quarter wind power capacity which would be eliminated. AUSTRALIA power bills, 20% higher than this time last year. CANADA : Ontario Consumers bills have increase over 88% over the last 5 years due to the wind farm subsidies. Even though after 30 years wind farms only produce 4% of the energy, it cost is 20% of each person bill.. As of 2017, The cost of wind power will add $170 Billion to Taxpayers electrical bills. (To put into perspective, $170 billion can buy 8,500,000 Honda Civics.).
CONCERNS : by 2020 an estimated 33,000 to 111,000 bats will be KILLED ANNUALLY by wind turbines in the Mid-Atlantic . Mortality from factors is substantial on long-term cumulative impacts on both aquatic and terrestrial ecosystems. the economic consequences of losing bats could be substantial. Loss of bats .... could lead to... agricultural losses ...estimated at more than the value of bats to Farmers and Forest , may be as low as... $3.7 billion/year and as high as $53 billion/year....... 
CONCERN : Wind Turbine Noise ... facility that emit a noise level known to exceed health limits, where the noise becomes 'intrusive and annoying' is not only unreasonable, it is unconscionable and should be unlawful. Nuisance noise complaints by neighbors, studies show that turbine noise can lead to sleep deprivation and other health problems also cause Wildlife nesting issues. .
CONCERN BIRDS every year 573,000 birds (including 83,000 raptors) and 888,000 bats are killed by wind turbines. Collisions of small migratory songbird species account for approximately 60% of fatalities at U.S. wind facilities . Small songbirds comprise more than 90% of all landbirds (Partners in Flight Science Committee 2013). Most songbird species are migratory.
CONCERN . magnetic fields can pass through buildings, living things, and most other materials. The electric and magnetic forces in EMFs are caused by electromagnetic radiation. EMFs in the ionizing radiation part of the electromagnetic spectrum can damage DNA or cells directly. study in 1979 pointed to electric power lines and childhood leukemia. nine studies reported a twofold increase in risk of childhood leukemia among children with exposures. case-control study U.S. Air Force personnel found increased risk of brain cancer among personnel who maintained or repaired radiofrequency or microwave-emitting equipment . 2002, the International Agency for Research on Cancer (IARC), Working Group classified ELF-EMFs as ""possibly carcinogenic ( cancer causing ) to humans,"". 2015, the European Commission Scientific Committee reviewed electromagnetic fields. It found epidemiologic studies of frequency fields show an increased risk of childhood leukemia. 
Concern Wind turbines and Electric cars use rare-earth component of the magnets . Chinese producers capture 95% to 98% of the world market of ""rare-earth"" materials. neodymium oxides . The world's largest refinery for rare-earth metals in Kuantan, Malaysia has street demonstrations over radiation concerns, regulatory challenges, and the withdrawal of a major equipment. Each turbine constructed requires at least a couple THOUSAND pounds of Rare Earth Elements (REEs; China still produces 86 percent of the world's supply of Rare Earth Elements in 2014 and close to 60 percent of American supply was imported. Note: Per UNICEF mining cobalt material 40,000 children worked in mines in Africa, material purchased by china, battery then made in Korea, Sfety of the rare earth refinery, which is being built by Lynas, an Australian company. Lynas has been trying for several years to find a site for the permanent disposal of the roughly 20,000 tons a year of low-level radioactive waste that will be produced, and is still struggling to do so.










--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0203,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
60,10,"Major part of ESA need changing or appealing ASAP... A continuing controversy generated by ESA and related regulations is the conflict between government regulation and private property rights and water rights after a species has been listed. If a property owner has a protected species on their land, the government can limit or ban activities on that land or water source, which may harm the species. Under section 9 of the ESA, individuals are subject to criminal penalties if they ""take"" or ""harm"" a threatened or endangered species.78 The definition of ""harm"" includes any activity that could ""significantly impair essential behavioral patterns, including, breeding, spawning, rearing, migrating, feeding or sheltering"" of a species. the ESA penalizes people for being good stewards of their land. Landowners whose management practices create and preserve habitat for an endangered plant or animal open their land to being regulated under ESA. And contrary to what many environmental pressure groups claim, ESA regulations do not simply prevent development or changes in land use. Customary land uses and practices, such as farming, livestock grazing, and timber production have regularly been prohibited, even when such practices help to maintain the species' habitat."" While the Fifth Amendment to the U.S. Constitution provides that government cannot take private property unless it provides ""just compensation"" to the owner, many private property rights advocates are concerned that courts have not favorably ruled on the onerous effect of ESA regulations that amount to ""regulatory takings"" allowing for just compensation to property owners creates a ""regulatory straightjacket"" and disincentive to landowners, standing in the way of good conservation work, and can actually result in harm to species
 Americans who live near, work on and enjoy our lands, waters and wildlife show a tremendous commitment to conservation that is too often undermined and forgotten by the ESA's litigation-driven model. Species and people should have the right to live and prosper within a 21st century model that recognizes the values of the American people and fosters, not prohibits, a boots on-the-ground conservation philosophy that is working at many state and local levels. While well-intentioned from the beginning, must be updated and modernized to ensure its success where it matters most: outside of the courtroom and on-the-ground. A two percent recovery rate of endangered species is simply not acceptable. ESA can be modernized to more successfully assist species that are truly in danger. It can be updated so species conservation does not create conflicts with people. All the while, the ESA should promote greater transparency in the way our federal government does business. Over 1,500 U.S. domestic species and sub-species have been listed. Many species remain on the list and hundreds more could potentially be added.
Current implementation of ESA is focused too much on responding to listing petitions and unattainable statutory deadlines, litigation threats and ESA regulatory mandates, rather than on defensible policies, science or data to recover and de-list species. This slows or halts a multitude of public and private activities, even those that would protect species. ESA's regulatory requirements work to hinder other much needed efforts to protect the environment, such as control of aquatic invasive species that threaten the Great Lakes and its local water bodies. Current implementation of ESA does not clearly identify what is needed to recover and delist species, resulting in a lack of incentives, for state and private conservation, costly mandates, and wasted resources even in light of increased federal funding. The ESA punishes private property owners and water rights holders and fails to properly account for huge economic and regulatory burdens that also hinder species conservation. The ESA also advances the agendas of groups seeking land and water acquisition and control. The ESA promotes a lack of data transparency and science guiding ESA-related decisions, and there are conflicts of interest and bias in ""peer review"" of federal ESA decisions.
recommends constructive changes in the following categories: Requiring More Transparency and Accountability of ESA Data and Science. Ensuring Greater Transparency and Prioritization of ESA with a Focus on Species Recovery and De-Listing. Reducing ESA Litigation and Encouraging Settlement Reform. Empowering States, Tribes, Local Governments and Private Landowners on ESA Decisions Affecting Them and Their Property. ESA implementation and litigation continue to have tremendous negative impacts on a host of activities that could protect or improve habitat.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0269,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
61,1,"estimates that WIND TURBINES may kill a half a million birds a year. Most migratory birds are protected by the Migratory Bird Treaty Act which prohibits the taking, killing, possessing, transporting, and importing of migratory birds, their eggs, parts, and nests, except as authorized under by permit. turbines scattered across the continental U.S., is responsible for about 500,000 bird fatalities each year. The primary federally-listed species affected by operation of wind energy facilities in the Midwest Region is the endangered Indiana bat. Other listed plants and animals, in addition to the Indiana bat may be harmed by the construction of the facilities and infrastructure..... A paper published in Science estimates that bats typically save farmers $74 per acre, and that the value of bats to agriculture in the continental United States is roughly $22.9 billion annually. ... analyses suggesting that loss of bats in North America could lead to agricultural losses estimated at more than $3.7 billion/year. Unprecedented numbers of migratory bats are found dead beneath industrial-scale wind turbines during late summer and autumn in both North America and Europe. ....Bald and Golden Eagles Not all bird species are equally vulnerable to wind turbines. Eagles appear to be particularly susceptible. Large numbers of golden eagles have been killed by wind turbines in the western states. However, bald eagles have also been killed, although not in the numbers seen in the West. Wildlife Concerns Associated with Wind Energy Development . Wind energy developments can harm wildlife and their habitat as a result of: collisions with wind turbines and associated infrastructure (e.g., transmission lines and towers); loss and degradation of habitat from turbines and infrastructure at the project site; fragmentation of large habitat blocks into smaller segments that may not support area-sensitive species. wildlife species that we are most concerned about are species that are declining and under threat from other sources. The magnitude and growth of the wind energy industry is great enough that the resulting mortality and habitat lost could have population-level effects on vulnerable wildlife. large-scale fatalities of bats at wind energy facilities. Much of the emphasis of early wind energy-wildlife research was on bird impacts. However, the results of more recent studies indicate that, generally, far more bats than birds are killed, particularly in the Midwest and Eastern United States. Republican lawmakers in 2014 accused the FWS and DOJ of ignoring wildlife violations by wind farm developers while prosecuting fossil fuel companies for similar infractions. Conservation groups have raised similar concerns about environmental enforcement in the wind industry. Migratory Bird Treaty Act and the Bald and Golden Eagle Protection Act. The committee subpoenaed Ashe on March 11 demanding more than 65 unredacted documents related to communication between federal regulators and wind farm developers and referrals to the Department of Justice for suspected violations of the laws. There are legitimate concerns that the Obama Administration is implementing these laws in an arbitrary fashion,"" Committee Chairman Doc Hastings, a Washington state Republican, said in his opening remarks. ""We're also interested in learning more about what role 'cooperation' between the administration and wind developers plays in making enforcement decisions. FWS says it currently is investigating 17 cases of suspected wildlife violations in the wind industry. Electric company subsidiary killing 14 golden eagles and at least 149 other protected birds at two wind farms in Wyoming. The case ""establishes a precedent for the prosecution of other violations,"" Ashe said. FWS has referred seven cases of suspected violations by wind farms to the DOJ for prosecution",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0241,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
